DATA;corrente_neutro;corrente_f1;corrente_f2;corrente_f3;tensao_f1;tensao_f2;tensao_f3
23/03/2022 11:00;;;;;;;
23/03/2022 10:59;;;;;;;
23/03/2022 10:59;9.53;4.16;3.35;2.02;254.2;254.0;254.1
23/03/2022 10:59;9.56;4.17;3.35;2.03;254.1;253.9;254.0
23/03/2022 10:59;;;;;;;
23/03/2022 10:58;;;;;;;
23/03/2022 10:58;9.45;4.12;3.31;2.02;254.1;253.9;254.0
23/03/2022 10:58;;;;;;;
23/03/2022 10:57;9.48;4.13;3.28;2.06;253.8;253.5;253.8
23/03/2022 10:57;;;;;;;
23/03/2022 10:57;;;;;;;
23/03/2022 10:56;9.38;4.08;3.27;2.02;253.1;252.9;253.2
23/03/2022 10:56;;;;;;;
23/03/2022 10:56;;;;;;;
23/03/2022 10:55;9.46;4.13;3.3;2.04;253.5;253.3;253.6
23/03/2022 10:55;;;;;;;
23/03/2022 10:54;;;;;;;
23/03/2022 10:54;9.48;4.12;3.35;2.01;252.8;252.7;252.7
23/03/2022 10:54;9.5;4.14;3.32;2.04;252.9;252.6;252.9
23/03/2022 10:54;;;;;;;
23/03/2022 10:53;;;;;;;
23/03/2022 10:53;9.36;4.08;3.34;1.95;253.5;253.4;253.6
23/03/2022 10:53;;;;;;;
23/03/2022 10:52;;;;;;;
23/03/2022 10:52;9.34;4.08;3.31;1.95;253.4;253.3;253.2
23/03/2022 10:52;;;;;;;
23/03/2022 10:51;;;;;;;
23/03/2022 10:51;9.35;4.08;3.3;1.98;253.1;252.8;253.0
23/03/2022 10:51;;;;;;;
23/03/2022 10:50;;;;;;;
23/03/2022 10:50;9.34;4.08;3.29;1.97;252.5;252.3;252.3
23/03/2022 10:50;;;;;;;
23/03/2022 10:49;9.35;4.09;3.32;1.94;252.8;252.6;252.5
23/03/2022 10:49;;;;;;;
23/03/2022 10:48;;;;;;;
23/03/2022 10:48;9.36;4.08;3.34;1.94;252.7;252.6;252.4
23/03/2022 10:48;;;;;;;
23/03/2022 10:47;;;;;;;
23/03/2022 10:47;9.23;4.04;3.28;1.98;252.4;252.0;252.3
23/03/2022 10:47;;;;;;;
23/03/2022 10:46;;;;;;;
23/03/2022 10:46;9.51;4.12;3.35;2.04;252.8;252.7;252.7
23/03/2022 10:46;;;;;;;
23/03/2022 10:45;;;;;;;
23/03/2022 10:45;9.48;4.12;3.35;2.01;252.9;252.7;252.8
23/03/2022 10:45;;;;;;;
23/03/2022 10:44;9.41;4.09;3.31;2.01;252.3;252.2;252.1
23/03/2022 10:44;;;;;;;
23/03/2022 10:44;;;;;;;
23/03/2022 10:43;;;;;;;
23/03/2022 10:42;;;;;;;
23/03/2022 10:42;9.41;4.09;3.31;2.0;252.4;252.2;252.1
23/03/2022 10:42;9.47;4.14;3.31;2.02;253.1;252.9;252.8
23/03/2022 10:42;;;;;;;
23/03/2022 10:41;9.45;4.1;3.35;2.0;253.1;253.1;253.0
23/03/2022 10:41;;;;;;;
23/03/2022 10:41;;;;;;;
23/03/2022 10:40;9.41;4.11;3.33;1.97;253.7;253.6;253.8
23/03/2022 10:40;;;;;;;
23/03/2022 10:40;;;;;;;
23/03/2022 10:39;9.38;4.09;3.29;1.99;253.0;252.9;253.1
23/03/2022 10:39;;;;;;;
23/03/2022 10:39;;;;;;;
23/03/2022 10:38;9.35;4.08;3.29;1.98;253.4;253.3;253.5
23/03/2022 10:38;;;;;;;
23/03/2022 10:38;;;;;;;
23/03/2022 10:37;9.34;4.09;3.29;1.96;253.4;253.1;253.3
23/03/2022 10:37;;;;;;;
23/03/2022 10:36;;;;;;;
23/03/2022 10:36;9.37;4.09;3.28;2.0;253.1;252.8;253.0
23/03/2022 10:36;;;;;;;
